01:04:55  [ESP32] Heap libre: 44964 B | Min: 19668 B
01:05:10  [ESP32] Heap libre: 47784 B | Min: 19668 B
01:05:25  [ESP32] Heap libre: 47784 B | Min: 19668 B
01:05:40  [ESP32] Heap libre: 46744 B | Min: 19668 B
01:05:55  [ESP32] Heap libre: 44896 B | Min: 19668 B
01:06:10  [ESP32] Heap libre: 46744 B | Min: 19668 B
01:06:25  [ESP32] Heap libre: 46744 B | Min: 19136 B
01:06:40  [ESP32] Heap libre: 47784 B | Min: 19136 B
01:06:55  [ESP32] Heap libre: 44964 B | Min: 19136 B
01:07:10  [ESP32] Heap libre: 46744 B | Min: 19136 B
01:07:25  [ESP32] Heap libre: 44964 B | Min: 19136 B
01:07:40  [ESP32] Heap libre: 47784 B | Min: 19136 B
01:07:55  [ESP32] Heap libre: 47784 B | Min: 19136 B
01:08:10  [ESP32] Heap libre: 47784 B | Min: 19136 B
01:11:10  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:11:25  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:11:41  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:11:56  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:12:11  [ESP32] Heap libre: 46732 B | Min: 19136 B
01:12:26  [ESP32] Heap libre: 46176 B | Min: 19136 B
01:12:41  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:12:56  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:13:11  [ESP32] Heap libre: 44952 B | Min: 19136 B
01:13:26  [ESP32] Heap libre: 44952 B | Min: 19136 B
01:13:41  [ESP32] Heap libre: 46468 B | Min: 19136 B
01:13:56  [ESP32] Heap libre: 43912 B | Min: 19136 B
01:14:11  [ESP32] Heap libre: 46188 B | Min: 19136 B
01:14:26  [ESP32] Heap libre: 47772 B | Min: 19136 B
01:14:41  [ESP32] Heap libre: 46188 B | Min: 19136 B
01:14:56  [ESP32] Heap libre: 40988 B | Min: 19136 B
01:15:11  [ESP32] Heap libre: 44952 B | Min: 19136 B
01:15:26  [ESP32] Heap libre: 41532 B | Min: 19136 B
01:15:41  [ESP32] Heap libre: 44864 B | Min: 19136 B
